Source	ItemID	kText	cText
desc	$134	정신감응 투구	心靈之盔
desc	$135	복면 투구	全罩式頭盔
desc	$136	회색룡 비늘 갑옷	灰色龍鱗甲
desc	$137	화룡 비늘 갑옷	火龍鱗盔甲
desc	$138	풍룡 비늘 갑옷	風龍鱗盔甲
desc	$139	주황룡 비늘 갑옷	朱紅龍鱗甲
desc	$140	흑룡 비늘 갑옷	黑龍鱗甲
desc	$141	수룡 비늘 갑옷	水龍鱗盔甲
desc	$142	지룡 비늘 갑옷	地龍鱗盔甲
desc	$143	황룡 비늘 갑옷	黃龍鱗甲
desc	$144	회색룡 비늘	灰龍鱗
desc	$145	화룡 비늘	火龍鱗
desc	$146	풍룡 비늘	風龍鱗
desc	$147	주황룡 비늘	朱紅龍鱗
desc	$148	흑룡 비늘	黑龍鱗
desc	$149	수룡 비늘	水龍鱗
desc	$150	지룡 비늘	地龍鱗
desc	$151	황룡 비늘	黃龍鱗
desc	$152	판금 갑옷	金屬盔甲
desc	$153	수정 갑옷	水晶盔甲
desc	$154	청동 판금 갑옷	青銅盔甲
desc	$155	미늘 갑옷	藤甲
desc	$156	띠 갑옷	皮甲
desc	$157	난쟁이족 미쓰릴 코트	侏儒之米索莉外套
desc	$158	요정족 미쓰릴 코트	精靈之米索莉外套
desc	$159	사슬 갑옷	鏈甲
desc	$160	오크족 사슬 갑옷	歐西斯鏈甲
desc	$161	조악한 사슬 갑옷	粗鏈甲
desc	$162	비늘 갑옷	鱗甲
desc	$163	징박힌 가죽 갑옷	銀釘皮甲
desc	$164	고리 갑옷	環甲
desc	$165	오크족 고리 갑옷	歐西斯環甲
desc	$166	조악한 고리 갑옷	粗環甲
desc	$167	가죽 재킷	皮夾克
desc	$168	티셔츠	T恤
desc	$169	미이라 붕대	木乃伊繃帶
desc	$170	요정족 망토	精靈斗篷
desc	$171	빛바랜 망토	褪色斗篷
desc	$172	오크족 망토	歐西斯斗篷
desc	$173	조잡한 망토	粗糙的小斗蓬
desc	$174	난쟁이족 망토	侏儒斗篷
desc	$175	모자달린 망토	連身的斗蓬
desc	$176	기름 망토	油布斗篷
desc	$177	미끄러운 망토	光滑的斗蓬
desc	$178	보호 망토	保護者斗篷
desc	$179	누더기 망토	破爛的斗篷
desc	$180	투명 망토	隱身斗篷
desc	$181	오페라 망토	歌劇斗篷
desc	$182	마법 망토	抗魔法斗篷
desc	$183	장식 망토	裝飾斗篷
desc	$184	치환 망토	位移斗篷
desc	$185	천 조각	布塊
desc	$186	작은 방패	小盾牌
desc	$187	요정족 방패	精靈盾牌
desc	$188	청록 방패	青綠斗篷
desc	$189	우럭하이 방패	阿克海盾牌
desc	$190	흰손잡이 방패	白手盾牌
desc	$191	오크족 방패	歐西斯盾牌
desc	$192	붉은 눈 방패	紅眼盾牌
desc	$193	큰 방패	大盾牌
desc	$194	난쟁이족 둥근 방패	侏儒圓盾
desc	$195	큰 둥근 방패	大圓盾
desc	$196	반사 방패	反射之盾
desc	$197	반짝이는 은 방패	銀盾
desc	$198	가죽 장갑	皮手套
desc	$199	낡은 장갑	舊手套
desc	$200	실수 장갑	探險用長手套
desc	$201	덧댄 장갑	填補手套
desc	$202	힘 장갑	權力的長手套
desc	$203	승마 장갑	騎馬手套
desc	$204	민첩 장갑	靈巧的長手套
desc	$205	펜싱 장갑	劍術手套
desc	$206	짧은 부츠	短統靴
desc	$207	걷기용 신	步行鞋
desc	$208	철 신	鐵鞋
desc	$209	딱딱한 신	硬皮靴
desc	$210	긴 부츠	長靴
desc	$211	기병용 군화	長統馬靴
desc	$212	쾌속 부츠	快速靴
desc	$213	전투화	戰鬥靴
desc	$214	물위 걷기 부츠	防水靴
desc	$215	정글 부츠	叢林靴
desc	$216	점프 부츠	跳躍靴
desc	$217	하이킹 부츠	旅行靴
desc	$218	요정족 부츠	精靈靴
desc	$219	진흙 부츠	泥靴
desc	$220	실수 부츠	探險靴
desc	$221	승마용 부츠	騎馬靴
desc	$222	부양 부츠	飄浮靴
desc	$223	눈 부츠	雪靴
desc	$224	셔츠	襯衫
desc	$225	망토	斗蓬
desc	$226	갑옷	盔甲
desc	$227	축복받은	受祝福的
desc	$228	저주받은	被詛咒的
desc	$229	소원 막대	希望魔杖
desc	$230	순간이동 주문서	瞬間移動卷軸
desc	$231	남은 연료	木炭
desc	$232	파란 물약	藍色藥水
desc	$233	비취 물약	翡翠藥水
desc	$234	초록 물약	綠色藥水
desc	$235	주홍 물약	橙色藥水
desc	$236	보라 물약	紫色藥水
desc	$237	빨간 물약	紅色藥水
desc	$238	맑은 물약	白色藥水
desc	$239	불투명 물약	黑色藥水
desc	$240	경비병	警衛
desc	$241	순간이동 조종 반지	傳送控制戒指
desc	$242	눈멀기 물약	失明藥水
desc	$243	저주 풀기 주문서	解除咀咒的卷軸
desc	$244	무기 마법 주문서	對武器施法的卷軸
desc	$245	파랗게	藍色的
desc	$246	검게	黑色的
desc	$247	한 순간	一瞬間發出
desc	$248	잠시	持續發出
desc	$249	갑옷 마법 주문서	對盔甲施法的卷軸
desc	$250	진동합니다	震動
desc	$251	빛납니다	光芒
desc	$252	은색으로	銀色的
desc	$253	강렬하게	強烈的
desc	$254	갑옷 파괴 주문서	毀滅盔甲的卷軸
desc	$255	고급 체력 회복제	強力治癒藥水
desc	$256	개구리	青蛙
desc	$257	부활 주문서	復活卷軸
desc	$258	괴물 생성 막대	創造怪物魔杖
desc	$259	결투장	競技場
desc	$260	변신 막대	變形魔杖
desc	$261	변신 조종 반지	變形控制戒指
desc	$262	번개 소환 막대	閃電魔杖
desc	$263	흑단 막대	烏木魔杖
desc	$264	속도향상 물약	自我加速藥水
desc	$265	셸로브	夏洛伯
desc	$266	오크 전사	妖魔鬥士
desc	$267	오크 궁수	妖魔弓箭手
desc	$268	늑대	狼
desc	$269	판도라	潘朵拉
desc	$270	군터	甘特
desc	$271	독수리	鷹
desc	$272	흑기사	黑騎士
desc	$273	흑기사 대장	黑騎士隊長
desc	$274	커츠	克特
desc	$275	이곳이 '말하는 섬'인가	這裡就是 '說話之島'嗎
desc	$276	'붉은 기사의 집' 출신의 기사에게서 알아낸 것이니 틀림 없을겁니다.	這消息是從'紅騎士之家'傳出來的,應該沒錯。
desc	$277	이곳에 폐하께 반기를 들 기회를 노리고 있는 자들이 있다는 정보도 틀림 없는 것 같습니다.	而且居住在這裡的人大多反對統治者所定的法律。
desc	$278	...하지만 폐하께서도 너무 신경쓰시는 것이 아닌가. 아무리 듀크 데필의 자식이라고는 하지만 애송이 한 놈이 뭘 할 수 있다고...	但是殿下實在是過度反應！一個小孩能作什麼？就算他是杜克的兒子，又怎樣？  
desc	$279	입을 조심하라. 스스로 폐하에 결정에 대해 토를 달 수 있는 신분이라 생각하는가.	閉嘴。以你的身分怎麼可以質問所下的命令。
desc	$280	주...죽을 죄를 지었습니다!	長官...當然不是！請原諒我。
desc	$281	...자, 일단 섬을 한번 돌아보기로 하자. 내 말해두지만 함부로 아무에게나 칼을 대지 말도록 하라.	...那，我們先巡視一下島的情況吧。記住，除非必要不許隨便殺人。
desc	$282	예!	是！
desc	$283	일단 섬 주민들과 접촉해서 그럴 듯한 녀석을 색출해 보는 것이 빠를 것 같습니다.	首先接觸島住民後，找出比較可疑的人。
desc	$284	...그것보다는 우선 군터를 찾아가서 물어보는게 낫지 않을까요?	是不是先找到甘特而且問他比較恰當？
desc	$285	군터는 폐하께 큰 반감을 가지고 있는 자인데 우리에게 협력 하겠나?	甘特和領主的關係並不是處的很好，為什麼你覺得他會協助我們？
desc	$286	...이렇게 된 바에야 이 섬에 사는 놈들을 군터도 포함해서 싸그리 죽이고 돌아가는게 어떨까요? 그게 후환도 없고...	為什麼我們不乾脆殺掉甘特和島上其他的人？那麼就不會再留下任何麻煩。
desc	$287	...내 이전에 말하지 않았는가, 입을 조심하라고. 무고한 자의 피를 흘리는 자는 그 10배를 값아야 할 것이야.	我難道沒有告訴你們說話小心一點？我保證，殺害無辜的人將會遭受到更大的報復。
desc	$288	...문제는 역시 우리가 찾는 인물이 실제로 이곳에서 두각을 나타내고 있느냐 아니냐인데...	問題是…我們在找的這個人對這裡有任何的影響力嗎？  
desc	$289	...아니, 그 반대다. 두각을 나타내는 녀석이야말로 폐하께 반기를 들 위험한 놈일 수 있는 것이다. 자, 경계를 게을리 말고 주위를 살피라!	不，這是另外一個方法。如果這裡的某一人對島上的人們有影響力，那麼我們就必須除掉他。現在保持警戒並且散開！
desc	$290	예!	是！
desc	$291	탐색의 보고를.	偵查之後必須跟我報告吧。
desc	$292	예! 현재로써는 특별히 수상한 녀석은 보이지 않습니다.	是！到目前尚未發現可疑的傢伙。
desc	$293	하지만...이 섬에 있는 사람들은 전체적으로 폐하께 대한 반발 의식이 있는 것 같았습니다.	但是…以我的感覺而言，住在這裡的大部分的住民對殿下有反感。 
desc	$294	실제로 순찰중 습격을 당할 뻔 한적도 있었습니다.	我們在偵查的時候差點被攻擊。
desc	$295	'특별히' 수상한 자는 발견하지 못했지만, 바꾸어 말하면 이 섬에 있는 사람들은 전부 어딘가 '조금씩' 수상합니다.	雖然沒有發現“特別”可疑的人，但是總覺得這裡的住民皆有點奇怪。
desc	$296	흐~음. 결국 이 섬에 대한 경계를 늦출 수 없다는 이야기인가...	嗯。那麼我們必須繼續觀察這裡的情況…
desc	$297	좋아, 일단 오늘은 이것으로 귀환하기로 한다. 전원 철수!	好，我們今天暫時撤退。所有人，撤退！
desc	$298	예!	是！
desc	$299	이 건방진 것들이 어디서...!	真是有種…竟敢攻擊我們！
desc	$300	...한번 보고 상대방의 실력을 파악하지 못하다니, 불쌍한 자들...	笨蛋。你們根本不知道敵人的能力。
desc	$301	커헉!	哦！
desc	$302	...훗, 나를 죽여도...소용 없다...이미 이곳에 반역자들이 있다는 보고는 폐하께 들어가 있어......곧 또다른 토벌대가 올 것이다...	你或許打敗了我，但是我已經通知領主這個島上有背叛者。新的遠征軍很快就會到來。
desc	$303	수련장	修練場
desc	$304	발심	巴辛
desc	$305	지하수련장	地下修練場
desc	$306	바포메트	巴風特
desc	$307	금빛 열쇠	黃金鑰匙
desc	$308	은회색 열쇠	銀鑰匙
desc	$309	도린	朵琳
desc	$310	합계:	總計:
desc	$311	셸로브 발톱	夏洛伯之爪
desc	$312	붉은 기사의 망토	紅騎士之斗篷
desc	$313	붉은 기사의 검	紅騎士之劍
desc	$314	글루디오 영지행 배표	往古魯丁的船票
desc	$315	말하는 섬행 배표	往說話之島的船票
desc	$316	해독제	解毒藥水
desc	$317	구울	食屍鬼
desc	$318	스파토이	史巴托
desc	$319	웅골리언트	楊果里恩
desc	$320	선착장 관리인	港口主人
desc	$321	...모든 죽은 자들의 주인...	…格蘭肯的…光榮…
desc	$322	...그랑 카인에게...영광...있으라...	…在所有的亡者之中，他就是鑰匙…
desc	$323	...그랑 카인이여...반왕 켄 라우헬에게도 죽음을...	... 格蘭肯…給肯恩羅侯死亡的…
desc	$324	그루먼	古魯門
desc	$325	버그베어	食人妖精
desc	$326	랜턴	燈籠
desc	$327	랜턴용 기름	燈油
desc	$328	강력 체력 회복제	終極治癒藥水
desc	$329	부츠	長靴
desc	$330	장갑	手套
desc	$331	네크로맨서	魔法師
desc	$332	케티	凱蒂
desc	$333	룻	露西
desc	$334	카림	凱倫
desc	$335	발터자르	巴土瑟
desc	$336	카스파	卡士伯
desc	$337	메르키오르	馬庫爾
desc	$338	세마	西瑪
desc	$339	어디 숨었는가,오림! 이 배신자여!	歐林，你這背叛者！你躲在哪?
desc	$340	너는 우리로부터 끝까지 숨을 수는 없으리라!	歐林，你不可能躲得過我們！
desc	$341	어서 나와 위대한 마력의 소유자에게 용서를 빌라!	出來並向偉大的魔法師乞求饒你的狗命吧！
desc	$342	그는 관대하시니 너를 용서하실 것이라...빨리 나오지 못하겠는가!	他是寬容之神…也許會原諒你，趕快出來啊！
desc	$343	슬라임 레이스 표	史萊姆競賽門票
desc	$344	캐논 보이	加農炮小子
desc	$345	레이디 호크	鷹女王
desc	$346	라이트닝	閃電
desc	$347	가디안	守護神
desc	$348	이븐스타	夜星
desc	$349	슈퍼블랙	超級黑暗
desc	$350	마키아벨리	馬基雅弗利
desc	$351	마이베이비	寶貝
desc	$352	슈팅스타	流星
desc	$353	뷸렛	子彈
desc	$354	엘븐 애로우	精靈之箭
desc	$355	사이하	沙哈
desc	$356	호크윈드	鷹之風
desc	$357	팰컨	獵鷹
desc	$358	펌블	摸索
desc	$359	젤리피쉬	霹靂
desc	$360	켄트성	肯特城堡
desc	$361	슬라임 레이스장	史萊姆競賽聯盟
desc	$362	글루딘 마을	古魯丁村莊
desc	$363	출발 준비!	準備
desc	$364	시작!	GO！
desc	$365	아만	阿門
desc	$366	회 게임의 우승자는	場比賽的優勝者是
desc	$367	입니다!	！
desc	$368	좋음	好
desc	$369	보통	普通
desc	$370	나쁨	不好
desc	$371	데스나이트	死亡騎士
desc	$372	크로우	怪手
desc	$373	고라	葛拉
desc	$374	게렝	吉倫
desc	$375	제	第
desc	$376	경기 시작	剩餘時間：
desc	$377	분전!	分鐘！
desc	$378	가버너	加姆諾
desc	$379	영이글	年輕的鷹
desc	$380	세인트라이트	神聖的光
desc	$381	글루디아	古魯丁
desc	$382	가버너&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	加姆諾&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$383	영이글&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	年輕的鷹&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$384	세인트라이트	神聖之光
desc	$385	글루디아&nbsp;&nbsp;&nbsp;&nbsp;	古魯丁&nbsp;&nbsp;&nbsp;&nbsp;
desc	$386	캐논 보이&nbsp;&nbsp;&nbsp;	加農炮小子&nbsp;&nbsp;&nbsp;
desc	$387	레이디 호크&nbsp;	鷹女王&nbsp;
desc	$388	라이트닝&nbsp;&nbsp;&nbsp;&nbsp;	閃電&nbsp;&nbsp;&nbsp;&nbsp;
desc	$389	가디안&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	守護神&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$390	이븐스타&nbsp;&nbsp;&nbsp;&nbsp;	夜星&nbsp;&nbsp;&nbsp;&nbsp;
desc	$391	슈퍼블랙&nbsp;&nbsp;&nbsp;&nbsp;	超級黑暗&nbsp;&nbsp;&nbsp;&nbsp;
desc	$392	마키아벨리&nbsp;&nbsp;	馬基雅弗利&nbsp;&nbsp;
desc	$393	마이베이비&nbsp;&nbsp;	寶貝&nbsp;&nbsp;
desc	$394	슈팅스타&nbsp;&nbsp;&nbsp;&nbsp;	流星&nbsp;&nbsp;&nbsp;&nbsp;
desc	$395	뷸렛&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	子彈&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$396	엘븐 애로우&nbsp;	精靈之箭&nbsp;
desc	$397	사이하&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	沙哈&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$398	호크윈드&nbsp;&nbsp;&nbsp;&nbsp;	鷹之風&nbsp;&nbsp;&nbsp;&nbsp;
desc	$399	팰컨&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	獵鷹&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$400	펌블&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	摸索&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
desc	$401	젤리피쉬&nbsp;&nbsp;&nbsp;&nbsp;	霹靂&nbsp;&nbsp;&nbsp;&nbsp;
desc	$402	의 배당율은	的賠率為
desc	$403	마후	梅格
desc	$404	모든 살아있는 자들에게 죽음을!!	殺掉所有生存者！！
desc	$405	크로울링 크로	怪手
desc	$406	오림	歐林
desc	$407	파아그리오의 대검	帕格立歐巨劍
desc	$408	파아그리오의 장창	帕格立歐長矛
desc	$409	사이하의 투구	沙哈頭盔
desc	$410	사이하의 신발	沙哈草鞋
desc	$411	클레모어	雙刃大砍刀
desc	$412	대형 도끼	巨斧
desc	$413	면류관	王冠
desc	$414	기사의 면갑	騎士面甲
desc	$415	그라디우스	侵略者之劍
desc	$416	악운의 단검	骰子匕首
desc	$417	doom blade	末日刀
desc	$418	광전사의 도끼	狂戰士斧
desc	$419	에바의 방패	伊娃之盾
desc	$420	에바의 비늘갑옷	伊娃之鱗甲
desc	$421	에바의 눈물	伊娃之淚
desc	$422	파아그리오의 날개	帕格立歐之髮
desc	$423	사이하의 은총	沙哈的恩典
desc	$424	성기사의 검	戰士之劍
desc	$425	성기사의 갑옷	戰士盔甲
desc	$426	파괴의 도끼	破壞之斧
desc	$427	증오의 갑주	恨之盔甲
desc	$428	포르세의 검	波曲王之劍
desc	$429	사각 방패	塔盾
desc	$430	게일	蓋爾
desc	$431	사이하의 반지	沙哈的戒指
desc	$432	이스마엘	伊賽馬利
desc	$433	켄트 백작	肯特伯爵
desc	$434	은 완전히 부서져 있습니다.	完全被破壞了。
desc	$435	이 거의 부서져 갑니다.	幾乎破碎了。
desc	$436	의 이곳 저곳에 큰 구멍이 났습니다.	有了很多洞。
desc	$437	에 작은 구멍이 나기 시작했습니다.	開始產生小小的洞。
desc	$438	에 약간의 금이 가있습니다.	被產生的瑕疵。
desc	$439	은 건재합니다.	是完整的。
desc	$440	외성문	外城門
desc	$441	내성문	內城門
desc	$442	은 닫혀 있습니다.	是關閉的。
desc	$443	은 열려 있습니다.	是開放的。
desc	$444	세금	稅金
desc	$445	훈트	韓特
desc	$446	애쉬톤	艾須同
desc	$447	던컨	鄧肯
desc	$448	무어	摩爾
desc	$449	카나	卡娜
desc	$450	로리아	羅利雅
desc	$451	파르보	法波
desc	$452	제인트	杰特
desc	$453	지타	吉塔
desc	$454	렝고	林果
desc	$455	휜	芬
desc	$456	쥬디스	茱迪思
desc	$457	공금	寶庫
desc	$458	안딘	安迪
desc	$459	이소리야	索拉雅
desc	$460	'청상어'단	藍色鯊魚
desc	$461	무기 상점 '기적의 집'	武器商店『奇蹟之屋』
desc	$462	아이템 샵 '풍요의 꿈'	道具商店『富有之夢』
desc	$463	무기 상점 '강철 도끼'	武器商店『鋼鐵之斧』
desc	$464	마법 상점 '샤먼의 집'	魔法商店『巫師之屋』
desc	$465	막사	軍營
desc	$466	경비병! 저놈들을 남김없이 죽여버려라!	警衛！殺掉那些入侵者不必仁慈！
desc	$467	모...목숨만은~ 목숨만은 살려주시오~~~	請…請饒恕我卑…卑微的生命…
desc	$468	바호프	巴歐
desc	$469	공격 태세	攻擊狀態
desc	$470	방어 태세	防禦狀態
desc	$471	휴식	停留
desc	$472	경계	警戒
desc	$473	해산	解散
desc	$474	문지기	守門人
desc	$475	근위병	城堡守衛
desc	$476	산개	延伸
desc	$477	이 반역자들! 열을 셀동안 이곳에서 꺼지지 않으면 죽여버리겠다!	你們這些背叛的人渣！在我數到１０之前還不離開的話我就殺了你們…
desc	$478	토마	多瑪
desc	$479	우드포드	伍得福
desc	$480	오포	阿福
desc	$481	로한	羅瀚
desc	$482	토반	透本
desc	$483	토미	湯米
desc	$484	라이라	萊拉
desc	$485	사니타	聖妮塔
desc	$486	엘른	伊連
desc	$487	한나	漢娜
desc	$488	세겜 아투바	沙罕阿吐巴
desc	$489	바주아 아투바	巴瑞阿吐巴
desc	$490	켄투 네루가	肯土那魯加
desc	$491	네나니 간디	那那米甘地
desc	$492	타가 로바	泰加羅孚
desc	$493	루 두다-마라	露都達瑪拉
desc	$494	아투바 오크	阿吐巴妖魔
desc	$495	네루가 오크	那魯加妖魔
desc	$496	간디 오크	甘地妖魔
desc	$497	로바 오크	羅孚妖魔
desc	$498	두다-마라 오크	都達瑪拉妖魔
desc	$499	아투바의 토템	阿吐巴圖騰
desc	$500	네루가의 토템	那魯加圖騰
desc	$501	간디의 토템	甘地圖騰
desc	$502	로바의 토템	羅孚圖騰
desc	$503	두다-마라의 토템	都達瑪拉圖騰
desc	$504	가스트	卡司特
desc	$505	귀환 주문서	傳送回家的卷軸
desc	$506	강화 변신 막대	強化變形魔杖
desc	$507	마력 회복 물약	加速魔力回復藥水
desc	$508	마력의 돌	魔法寶石
desc	$509	오크 가드	妖魔警衛
desc	$510	오크 레인져	妖魔騎警
desc	$511	오크 스카우트	妖魔巡守
desc	$512	다이아몬드	鑽石
desc	$513	루비	紅寶石
desc	$514	사파이어	藍寶石
desc	$515	에메랄드	綠寶石
desc	$516	마법 방어 사슬 갑옷	抗魔法鏈甲
desc	$517	마법서 (힐)	魔法書 (初級治癒術)
desc	$518	마법서 (라이트)	魔法書 (日光術)
desc	$519	마법서 (실드)	魔法書 (保護罩)
desc	$520	마법서 (에너지 볼트)	魔法書 (光箭)
desc	$521	마법서 (텔레포트)	魔法書 (指定傳送)
desc	$522	마법서 (큐어 포이즌)	魔法書 (解毒術)
desc	$523	마법서 (칠 터치)	魔法書 (寒冷戰慄)
desc	$524	마법서 (커스: 포이즌)	魔法書 (毒咒)
desc	$525	마법서 (인챈트 웨폰)	魔法書 (擬似魔法武器)
desc	$526	마법서 (디텍션)	魔法書 (無所遁形術)
desc	$527	마법서 (라이트닝)	魔法書 (極光雷電)
desc	$528	마법서 (턴 언데드)	魔法書 (起死回生術)
desc	$529	마법서 (익스트라 힐)	魔法書 (中級治癒術)
desc	$530	마법서 (커스: 블라인드)	魔法書 (闇盲咒術)
desc	$531	마법서 (블레스드 아머)	魔法書 (鎧甲護持)
desc	$532	마법서 (파이어볼)	魔法書 (燃燒的火球)
desc	$533	마법서 (인챈트 덱스터리티)	魔法書 (通暢氣脈術)
desc	$534	마법서 (웨폰 브레이크)	魔法書 (壞物術)
desc	$535	마법서 (뱀파이어릭 터치)	魔法書 (吸血鬼之吻)
desc	$536	마법서 (슬로우)	魔法書 (緩速術)
desc	$537	마법서 (커스: 패럴라이즈)	魔法書 (木乃伊的詛咒)
desc	$538	마법서 (콜 라이트닝)	魔法書 (極道落雷)
desc	$539	마법서 (그레이터 힐)	魔法書 (高級治癒術)
desc	$540	마법서 (테이밍 몬스터)	魔法書 (迷魅術)
desc	$541	마법서 (리무브 커스)	魔法書 (聖潔之光)
desc	$542	마법서 (크리에이트 좀비)	魔法書 (造屍術)
desc	$543	마법서 (인챈트 마이티)	魔法書 (體魄強健術)
desc	$544	마법서 (헤이스트)	魔法書 (加速術)
desc	$545	마법서 (캔슬레이션)	魔法書 (魔法相消術)
desc	$546	마법서 (이럽션)	魔法書 (地裂術)
