$23	肉	12	none	0	0	animalmatter	10	124	36	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$24	弓	13	bow	2	2	wood	30	20	12	1	0	1	1	1	1	6	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	1	0	0
$25	矛	14	spear	6	8	iron	80	101	27	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$27	枫木魔杖	15	none	0	0	wood	7	116	28	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
$28	松木魔杖	16	none	0	0	wood	7	117	28	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
$55	鉴定卷轴	17	none	0	0	paper	1	475	22	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$60	战斧	18	axe	8	6	iron	120	9	58	1	0	1	1	1	1	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$61	箭	19	arrow	5	5	iron	0	7	66	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
$62	巴迪须	20	spear	4	4	iron	120	11	5	1	0	1	1	1	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$63	柴刀	21	spear	4	10	iron	120	13	5	1	0	1	1	1	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$64	精灵弓	22	bow	2	2	wood	30	18	12	1	0	1	1	1	1	6	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	1	0	0
$65	欧西斯弓	23	bow	1	1	wood	30	18	12	1	0	1	1	1	1	6	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	1	0	0
$66	阔剑	24	sword	4	6	iron	70	21	82	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$67	蜡烛	25	none	8	0	web	2	24	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$68	胡萝卜	26	none	0	0	vegetation	2	25	67	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$69	木棒	27	axe	4	6	wood	30	31	14	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$70	匕首	28	dagger	4	3	iron	10	35	68	1	0	1	1	1	1	6	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$71	贝卡合金	29	spear	11	11	iron	100	38	5	0	0	1	1	1	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
$72	蛋	30	none	0	0	animalmatter	1	40	69	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$93	银箭	44	arrow	7	6	silver	0	96	66	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
$1014	水晶球	267	none	0	0	gemstone	11	437	773	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
